Date,Store_ID,Region,Category,Seasonality,Promotion,Weather_Condition,total_sales,total_units,avg_inventory,avg_demand,avg_discount,Month,Year
02-01-2022,S001,North,Groceries,Winter,1,Snowy,40736.35,570,108.5,115.8333,4,1,2022
02-01-2022,S001,North,Toys,Winter,1,Snowy,7593.14,300,130.5,81,8.75,1,2022
02-01-2022,S001,North,Furniture,Winter,1,Snowy,54590.09,385,184,95.25,10,1,2022
02-01-2022,S002,South,Groceries,Winter,1,Cloudy,36311.4,474,107.3333,127.5,11,1,2022
02-01-2022,S002,South,Electronics,Winter,1,Cloudy,21320.77,211,85,121.6667,10,1,2022
02-01-2022,S002,South,Clothing,Winter,1,Cloudy,18331.38,293,76.2,124.2,7.4,1,2022
02-01-2022,S002,South,Toys,Winter,0,Cloudy,4027.47,158,112.5,93.5,5.5,1,2022
02-01-2022,S002,South,Furniture,Winter,0,Cloudy,10348.8,77,83,70,1,1,2022
02-01-2022,S003,East,Toys,Winter,0,Cloudy,3998.78,143,97,91,3,1,2022
02-01-2022,S003,East,Groceries,Winter,1,Cloudy,34083.85,687,145.5,110.625,9.625,1,2022
02-01-2022,S003,East,Electronics,Winter,1,Cloudy,29936.5,253,113.6667,154.6667,9,1,2022
02-01-2022,S003,East,Clothing,Winter,0,Cloudy,20410.4,181,222.5,124,5,1,2022
02-01-2022,S003,East,Furniture,Winter,0,Cloudy,12291.76,102,192,66,7.5,1,2022
02-01-2022,S004,West,Groceries,Winter,1,Sunny,19878.69,697,123,128.7143,6.142857143,1,2022
02-01-2022,S004,West,Clothing,Winter,1,Sunny,36400.3,446,112.75,168.25,12.5,1,2022
02-01-2022,S004,West,Furniture,Winter,1,Sunny,48471.03,375,151.1667,70.6667,6.166666667,1,2022
02-01-2022,S005,North,Groceries,Winter,1,Snowy,20575.11,454,102.2222,101,7,1,2022
02-01-2022,S005,North,Electronics,Winter,1,Snowy,2956.48,52,102,84,15,1,2022
02-01-2022,S005,North,Furniture,Winter,1,Snowy,27278.79,201,149.6667,78.6667,8.333333333,1,2022
02-01-2022,S005,North,Toys,Winter,0,Snowy,5949.51,189,124,69.6667,5.333333333,1,2022
02-01-2022,S005,North,Clothing,Winter,0,Snowy,5060.43,177,177,211,10,1,2022
03-01-2022,S001,North,Electronics,Winter,1,Snowy,17151.4,253,184.3333,86.3333,7,1,2022
03-01-2022,S001,North,Clothing,Winter,1,Snowy,7359.34,95,68,121.5,5.5,1,2022
03-01-2022,S001,North,Groceries,Winter,1,Snowy,28523.12,352,75.6667,156.3333,11.83333333,1,2022
03-01-2022,S001,North,Furniture,Winter,1,Snowy,15413.19,150,113,75.6667,12,1,2022
03-01-2022,S001,North,Toys,Winter,0,Snowy,4251.47,198,133,76.6667,1,1,2022
03-01-2022,S002,South,Groceries,Winter,1,Cloudy,13148.88,163,31,107.5,8.666666667,1,2022
03-01-2022,S002,South,Toys,Winter,0,Cloudy,2519.6,82,111.5,93.5,3,1,2022
03-01-2022,S002,South,Electronics,Winter,1,Cloudy,3311.41,46,15.3333,140.3333,13.33333333,1,2022
03-01-2022,S002,South,Clothing,Winter,1,Cloudy,21665.66,366,127.2,144.6,15,1,2022
03-01-2022,S002,South,Furniture,Winter,1,Cloudy,497.88,6,6,22,25,1,2022
03-01-2022,S003,East,Toys,Winter,1,Cloudy,2976.12,144,170,104,12.5,1,2022
03-01-2022,S003,East,Groceries,Winter,0,Cloudy,30359.27,516,73.4444,120.5556,4.333333333,1,2022
03-01-2022,S003,East,Electronics,Winter,1,Cloudy,30620.76,310,180.3333,122.3333,13.33333333,1,2022
03-01-2022,S003,East,Clothing,Winter,1,Cloudy,25578.13,263,132,159,15,1,2022
03-01-2022,S003,East,Furniture,Winter,1,Cloudy,24041.24,231,139.6667,92,10.33333333,1,2022
03-01-2022,S004,West,Groceries,Winter,1,Sunny,7143.71,225,47.1429,118.2857,9,1,2022
03-01-2022,S004,West,Furniture,Winter,1,Sunny,53604.26,411,108.4286,94.1429,13.57142857,1,2022
03-01-2022,S004,West,Clothing,Winter,1,Sunny,24318.54,311,107.4,126.2,6.4,1,2022
03-01-2022,S004,West,Electronics,Winter,1,Sunny,10774.28,94,94,173,25,1,2022
03-01-2022,S005,North,Groceries,Winter,1,Snowy,22461.97,453,134.625,114.375,8.375,1,2022
03-01-2022,S005,North,Electronics,Winter,0,Snowy,38.42,1,1,104,10,1,2022
03-01-2022,S005,North,Toys,Winter,1,Snowy,4250.01,150,75.3333,121,10,1,2022
03-01-2022,S005,North,Furniture,Winter,1,Snowy,30888.57,203,82.6667,95,5.333333333,1,2022
03-01-2022,S005,North,Clothing,Winter,0,Snowy,1217.45,65,239,67,10,1,2022
04-01-2022,S001,North,Electronics,Winter,0,Snowy,12458.97,209,161,79.3333,8.333333333,1,2022
04-01-2022,S001,North,Clothing,Winter,1,Snowy,15110.3,202,107,104.3333,12,1,2022
04-01-2022,S001,North,Groceries,Winter,1,Snowy,23950.96,376,293.2,114.8,10.2,1,2022
04-01-2022,S001,North,Toys,Winter,1,Snowy,4619.4,220,94,87.25,11.5,1,2022
04-01-2022,S001,North,Furniture,Winter,0,Snowy,20282.62,156,136.5,82.75,6.5,1,2022
04-01-2022,S002,South,Groceries,Winter,1,Cloudy,52179.92,742,338,132.8333,11.16666667,1,2022
04-01-2022,S002,South,Toys,Winter,1,Cloudy,7051.47,281,187.6667,109,15,1,2022
04-01-2022,S002,South,Electronics,Winter,1,Cloudy,273.4,3,1,116.6667,13.33333333,1,2022
04-01-2022,S002,South,Clothing,Winter,1,Cloudy,24448.4,398,165,140.8,6.2,1,2022
04-01-2022,S002,South,Furniture,Winter,0,Cloudy,12884.4,90,132,104,5,1,2022
04-01-2022,S003,East,Toys,Winter,1,Sunny,6319.79,253,100.6667,117,10.33333333,1,2022
04-01-2022,S003,East,Groceries,Winter,1,Sunny,37961.68,640,152.2222,145.1111,12.44444444,1,2022
04-01-2022,S003,East,Electronics,Winter,1,Sunny,45551.23,385,367.6667,145.6667,5.333333333,1,2022
04-01-2022,S003,East,Clothing,Winter,0,Sunny,22959.46,175,154,129.5,5.5,1,2022
04-01-2022,S003,East,Furniture,Winter,1,Sunny,24871.37,212,137.3333,117.6667,16.66666667,1,2022
04-01-2022,S004,West,Groceries,Winter,1,Cloudy,15187.7,506,176.8571,116.1429,8.285714286,1,2022
04-01-2022,S004,West,Furniture,Winter,1,Cloudy,91774.11,658,184.4286,97.7143,10.14285714,1,2022
04-01-2022,S004,West,Clothing,Winter,1,Cloudy,43078.01,409,158.6,123.6,13,1,2022
04-01-2022,S005,North,Groceries,Winter,1,Snowy,60350.39,918,219.1111,121.2222,9.222222222,1,2022
04-01-2022,S005,North,Electronics,Winter,0,Snowy,9843.63,156,276.5,91,1,1,2022
04-01-2022,S005,North,Toys,Winter,1,Snowy,10215.17,319,152.75,94.5,11.5,1,2022
04-01-2022,S005,North,Furniture,Winter,1,Snowy,16260.15,114,126,58.3333,12,1,2022
04-01-2022,S005,North,Clothing,Winter,1,Snowy,1347.57,69,174,112,15,1,2022
05-01-2022,S001,North,Electronics,Winter,1,Snowy,10574.28,167,251.5,86,25,1,2022
05-01-2022,S001,North,Clothing,Winter,1,Snowy,26035.02,363,316,120,7,1,2022
05-01-2022,S001,North,Groceries,Winter,1,Snowy,34020.23,634,302.1667,140.3333,16,1,2022
05-01-2022,S001,North,Furniture,Winter,1,Snowy,24663.54,215,172.75,92.25,18.75,1,2022
05-01-2022,S001,North,Toys,Winter,0,Snowy,2469.8,120,125.6667,56,7,1,2022
05-01-2022,S002,South,Groceries,Winter,1,Snowy,70812.38,858,351.4286,126.2857,11.57142857,1,2022
05-01-2022,S002,South,Toys,Winter,0,Snowy,5054.56,202,257,72,8.333333333,1,2022
05-01-2022,S002,South,Electronics,Winter,1,Snowy,35102.34,338,345.3333,132,16.66666667,1,2022
05-01-2022,S002,South,Clothing,Winter,1,Snowy,33270.73,539,296.2,113.8,16.2,1,2022
05-01-2022,S003,East,Groceries,Winter,1,Sunny,36114.24,547,259.5,179,12.83333333,1,2022
05-01-2022,S003,East,Electronics,Winter,1,Sunny,67764.09,567,300,205.3333,20,1,2022
05-01-2022,S003,East,Toys,Winter,1,Sunny,3565.28,131,193,101.5,15,1,2022
05-01-2022,S003,East,Clothing,Winter,1,Sunny,25769.2,270,201.5,191,25,1,2022
05-01-2022,S004,West,Groceries,Winter,1,Cloudy,14026.09,524,382.4,128,10.2,1,2022
05-01-2022,S004,West,Furniture,Winter,1,Cloudy,46289.33,379,174,78.6,18,1,2022
05-01-2022,S004,West,Clothing,Winter,1,Cloudy,40938.75,440,284.75,133,14,1,2022
05-01-2022,S004,West,Electronics,Winter,1,Cloudy,9261.14,83,83,158,20,1,2022
05-01-2022,S005,North,Groceries,Winter,1,Snowy,34550.66,865,291.5,113.125,16.875,1,2022
05-01-2022,S005,North,Electronics,Winter,1,Snowy,3542.69,87,199,100,5.5,1,2022
05-01-2022,S005,North,Toys,Winter,1,Snowy,9475.7,299,182.75,104.25,11.5,1,2022
05-01-2022,S005,North,Furniture,Winter,1,Snowy,26672.94,210,211.6667,76.3333,15,1,2022
05-01-2022,S005,North,Clothing,Winter,1,Snowy,448.46,34,105,37,25,1,2022
06-01-2022,S001,North,Electronics,Winter,1,Sunny,15385.6,223,140,108.3333,10.33333333,1,2022
06-01-2022,S001,North,Clothing,Winter,1,Sunny,26136.35,335,279,141,11.66666667,1,2022
06-01-2022,S001,North,Toys,Winter,1,Sunny,13657.11,421,154.75,132.5,9,1,2022
06-01-2022,S001,North,Groceries,Winter,0,Sunny,33313.82,542,433.6,116.2,5.2,1,2022
06-01-2022,S001,North,Furniture,Winter,1,Sunny,45711.31,362,364,90,10.25,1,2022
06-01-2022,S002,South,Groceries,Winter,1,Snowy,55555.7,876,250.5,115.75,11.375,1,2022
06-01-2022,S002,South,Toys,Winter,1,Snowy,5006.16,187,289.6667,78.3333,8.333333333,1,2022
06-01-2022,S002,South,Electronics,Winter,0,Snowy,12155.68,158,728.3333,58.6667,5.333333333,1,2022
06-01-2022,S002,South,Clothing,Winter,0,Snowy,24385.6,342,601.6667,109.3333,1,1,2022
06-01-2022,S003,East,Toys,Winter,0,Snowy,7020.51,243,143.3333,106.3333,3.666666667,1,2022
06-01-2022,S003,East,Groceries,Winter,1,Snowy,51650.7,944,447.1111,125.4444,10.11111111,1,2022
06-01-2022,S003,East,Clothing,Winter,0,Snowy,20370.05,215,245,107.5,3,1,2022
06-01-2022,S003,East,Electronics,Winter,1,Snowy,32278.74,261,252,132,10,1,2022
06-01-2022,S003,East,Furniture,Winter,0,Snowy,17690.2,132,279,80.5,3,1,2022
06-01-2022,S004,West,Groceries,Winter,1,Snowy,15285.49,654,540.1667,111.1667,8,1,2022
06-01-2022,S004,West,Furniture,Winter,0,Snowy,52226.66,430,280.5714,68.1429,4.142857143,1,2022
06-01-2022,S004,West,Clothing,Winter,1,Snowy,50286.38,539,363.6,110.8,8.2,1,2022
06-01-2022,S004,West,Electronics,Winter,0,Snowy,6505.65,61,131,73,5,1,2022
06-01-2022,S005,North,Groceries,Winter,1,Sunny,71003.62,1080,327.4444,148.2222,7.444444444,1,2022
06-01-2022,S005,North,Electronics,Winter,1,Sunny,9899.64,184,285.5,123,22.5,1,2022
06-01-2022,S005,North,Toys,Winter,0,Sunny,8743.08,267,388.3333,111,5,1,2022
06-01-2022,S005,North,Furniture,Winter,0,Sunny,21077.41,147,394.3333,78.3333,3.666666667,1,2022
07-01-2022,S001,North,Electronics,Winter,0,Snowy,17577.83,265,101.6667,89.3333,5.333333333,1,2022
07-01-2022,S001,North,Clothing,Winter,0,Snowy,14701.26,190,198.5,107,7.5,1,2022
07-01-2022,S001,North,Groceries,Winter,1,Snowy,20434.8,463,575,122.8,17,1,2022
07-01-2022,S001,North,Toys,Winter,1,Snowy,8187.13,299,152,95.25,10.25,1,2022
07-01-2022,S001,North,Furniture,Winter,1,Snowy,33081.21,261,290.75,77.75,7.75,1,2022
07-01-2022,S002,South,Groceries,Winter,1,Cloudy,56051.59,750,245.2857,124.5714,8.857142857,1,2022
07-01-2022,S002,South,Toys,Winter,1,Cloudy,11358.56,401,273.6667,129,10.33333333,1,2022
07-01-2022,S002,South,Electronics,Winter,1,Cloudy,30559.94,339,675.6667,127,13.66666667,1,2022
07-01-2022,S002,South,Clothing,Winter,1,Cloudy,45995.09,604,422.4,143.2,10.2,1,2022
07-01-2022,S002,South,Furniture,Winter,1,Cloudy,22903.5,150,344,163,15,1,2022
07-01-2022,S003,East,Groceries,Winter,1,Sunny,48735.84,884,487.1429,154.5714,8.714285714,1,2022
07-01-2022,S003,East,Electronics,Winter,1,Sunny,38058.66,377,272.3333,145.3333,13.33333333,1,2022
07-01-2022,S003,East,Toys,Winter,0,Sunny,5920.7,175,116,123,3,1,2022
07-01-2022,S003,East,Clothing,Winter,1,Sunny,29064.69,259,514,189.5,10,1,2022
07-01-2022,S003,East,Furniture,Winter,1,Sunny,13584.35,143,215.6667,55.3333,13.66666667,1,2022
07-01-2022,S004,West,Groceries,Winter,1,Cloudy,18247.55,710,408.1429,110.8571,9.571428571,1,2022
07-01-2022,S004,West,Furniture,Winter,1,Cloudy,65644.31,532,310.8333,83.3333,11.83333333,1,2022
07-01-2022,S004,West,Clothing,Winter,0,Cloudy,53942.45,606,297,133.2,7.2,1,2022
07-01-2022,S004,West,Electronics,Winter,1,Cloudy,6404.3,70,70,113,25,1,2022
07-01-2022,S005,North,Electronics,Winter,0,Snowy,2936.66,66,193.5,40.5,10,1,2022
07-01-2022,S005,North,Toys,Winter,1,Snowy,9904.73,311,282.5,108.75,12.5,1,2022
07-01-2022,S005,North,Groceries,Winter,1,Snowy,36860.64,533,283.8333,99.3333,5.5,1,2022
07-01-2022,S005,North,Furniture,Winter,1,Snowy,42468.35,306,404,106.6667,13.33333333,1,2022
08-01-2022,S001,North,Electronics,Winter,1,Snowy,11698.22,197,191,85.3333,13.33333333,1,2022
08-01-2022,S001,North,Clothing,Winter,1,Snowy,19097.22,269,171.6667,147.3333,11.66666667,1,2022
08-01-2022,S001,North,Groceries,Winter,1,Snowy,33961.63,669,509.2,141.4,12,1,2022
08-01-2022,S001,North,Toys,Winter,1,Snowy,7952.55,319,130.5,96.75,11.5,1,2022
08-01-2022,S001,North,Furniture,Winter,1,Snowy,34228.14,277,394.5,79,10.25,1,2022
08-01-2022,S002,South,Groceries,Winter,1,Cloudy,40848.62,556,266.5,129.1667,12,1,2022
08-01-2022,S002,South,Toys,Winter,1,Cloudy,8220.93,275,211.3333,124.3333,8.333333333,1,2022
08-01-2022,S002,South,Electronics,Winter,1,Cloudy,29585.41,273,562.6667,104.6667,8.666666667,1,2022
08-01-2022,S002,South,Clothing,Winter,1,Cloudy,41510.56,616,356.4,161.2,19,1,2022
08-01-2022,S002,South,Furniture,Winter,0,Cloudy,14005.8,90,194,130,1,1,2022
08-01-2022,S003,East,Toys,Winter,1,Sunny,6919.04,282,427,100.6667,16.66666667,1,2022
08-01-2022,S003,East,Groceries,Winter,1,Sunny,38411.99,542,382.5714,110.4286,14.42857143,1,2022
08-01-2022,S003,East,Electronics,Winter,1,Sunny,39453.92,380,311,158,21.66666667,1,2022
08-01-2022,S003,East,Furniture,Winter,1,Sunny,24147.03,211,496,79.6667,8.333333333,1,2022
08-01-2022,S003,East,Clothing,Winter,0,Sunny,25212.6,210,600,256,1,1,2022
08-01-2022,S004,West,Groceries,Winter,1,Cloudy,15621.64,576,346.4,130.2,13.2,1,2022
08-01-2022,S004,West,Furniture,Winter,1,Cloudy,76803.27,596,202.1429,107.8571,13.71428571,1,2022
08-01-2022,S004,West,Clothing,Winter,0,Cloudy,38587.44,416,160.5,108.25,5.5,1,2022
08-01-2022,S004,West,Electronics,Winter,0,Cloudy,6256.16,61,128,92,10,1,2022
08-01-2022,S005,North,Groceries,Winter,1,Snowy,24299.96,601,245.5714,113.5714,13.71428571,1,2022
08-01-2022,S005,North,Electronics,Winter,1,Snowy,9659.04,191,347.5,98.5,10,1,2022
08-01-2022,S005,North,Toys,Winter,1,Snowy,15851.63,471,278.5,125.25,10,1,2022
08-01-2022,S005,North,Furniture,Winter,1,Snowy,30729.85,221,345.3333,79.3333,10,1,2022
08-01-2022,S005,North,Clothing,Winter,1,Snowy,1094.5,55,164,84,10,1,2022
09-01-2022,S001,North,Electronics,Winter,0,Sunny,16165.34,226,157.6667,97.3333,8.333333333,1,2022
09-01-2022,S001,North,Clothing,Winter,0,Sunny,32862.72,416,186.3333,157.6667,5,1,2022
09-01-2022,S001,North,Groceries,Winter,0,Sunny,40725.43,627,421.5,124.3333,7.666666667,1,2022
09-01-2022,S001,North,Toys,Winter,1,Sunny,10335.94,348,195,106.75,12.5,1,2022
09-01-2022,S001,North,Furniture,Winter,1,Sunny,68277.08,492,341.25,117.75,12.75,1,2022
09-01-2022,S002,South,Groceries,Winter,1,Cloudy,42139.39,668,276.5714,126.4286,6.714285714,1,2022
09-01-2022,S002,South,Electronics,Winter,0,Cloudy,18645.8,209,471.6667,87,5.333333333,1,2022
09-01-2022,S002,South,Clothing,Winter,0,Cloudy,28144.82,411,317,103.25,2,1,2022
09-01-2022,S002,South,Toys,Winter,1,Cloudy,2408.41,112,56,162.5,17.5,1,2022
09-01-2022,S002,South,Furniture,Winter,1,Cloudy,14893.84,104,104,162,20,1,2022
09-01-2022,S003,East,Groceries,Winter,1,Sunny,53469.94,969,475.1111,123.8889,7.333333333,1,2022
09-01-2022,S003,East,Electronics,Winter,0,Sunny,26694.56,256,252.3333,109,5.333333333,1,2022
09-01-2022,S003,East,Toys,Winter,0,Sunny,4367.92,149,393,84,7.5,1,2022
09-01-2022,S003,East,Clothing,Winter,1,Sunny,34618.84,326,295,188.5,8,1,2022
09-01-2022,S003,East,Furniture,Winter,1,Sunny,32208.75,284,425.6667,96,12,1,2022
09-01-2022,S004,West,Groceries,Winter,1,Cloudy,19683.28,754,418.2857,123.4286,8.142857143,1,2022
09-01-2022,S004,West,Furniture,Winter,0,Cloudy,38197.59,282,219.2,67.4,6.2,1,2022
09-01-2022,S004,West,Clothing,Winter,1,Cloudy,48461.6,523,285.4,133.6,8.2,1,2022
09-01-2022,S004,West,Electronics,Winter,0,Cloudy,12433.63,109,175,125,10,1,2022
09-01-2022,S005,North,Groceries,Winter,0,Sunny,30546.8,713,287.7143,99,4.714285714,1,2022
09-01-2022,S005,North,Electronics,Winter,0,Sunny,10930.99,183,446.5,88,5.5,1,2022
09-01-2022,S005,North,Furniture,Winter,0,Sunny,22237.96,138,344,60,1,1,2022
09-01-2022,S005,North,Toys,Winter,1,Sunny,8077.94,221,119.5,181,17.5,1,2022
09-01-2022,S005,North,Clothing,Winter,0,Sunny,2292.15,105,109,129,10,1,2022
10-01-2022,S001,North,Electronics,Winter,1,Cloudy,8294.21,139,227,118.5,10,1,2022
10-01-2022,S001,North,Clothing,Winter,1,Cloudy,20796.62,301,359.5,157.5,10,1,2022
10-01-2022,S001,North,Groceries,Winter,1,Cloudy,45963.85,746,344,150.1667,10.83333333,1,2022
10-01-2022,S001,North,Toys,Winter,1,Cloudy,8095.79,308,181.75,95.5,7.75,1,2022
10-01-2022,S001,North,Furniture,Winter,1,Cloudy,29624.68,224,235,58.75,9,1,2022
10-01-2022,S002,South,Groceries,Winter,1,Cloudy,59448.22,857,306.875,119.375,7,1,2022
10-01-2022,S002,South,Toys,Winter,1,Cloudy,6720.41,222,321,115.5,12.5,1,2022
10-01-2022,S002,South,Clothing,Winter,0,Cloudy,34887.7,432,354,114,6.5,1,2022
10-01-2022,S002,South,Electronics,Winter,0,Cloudy,19826.3,206,417,133,10,1,2022
10-01-2022,S002,South,Furniture,Winter,1,Cloudy,9656.94,86,498,98,20,1,2022
10-01-2022,S003,East,Toys,Winter,0,Cloudy,1626.24,96,228,113,5,1,2022
10-01-2022,S003,East,Groceries,Winter,1,Cloudy,69031.21,1057,396.7778,134.7778,8.666666667,1,2022
10-01-2022,S003,East,Electronics,Winter,0,Cloudy,33235.7,288,294.6667,120.6667,5.333333333,1,2022
10-01-2022,S003,East,Clothing,Winter,1,Cloudy,24739.18,253,309.5,188.5,20,1,2022
10-01-2022,S003,East,Furniture,Winter,1,Cloudy,17651.57,165,391.6667,72,13.33333333,1,2022
10-01-2022,S004,West,Groceries,Winter,1,Cloudy,11791.45,510,490,91.8333,6.333333333,1,2022
10-01-2022,S004,West,Furniture,Winter,1,Cloudy,67665.84,559,198,86,10.28571429,1,2022
10-01-2022,S004,West,Clothing,Winter,1,Cloudy,43965.7,472,276.4,115.2,7.4,1,2022
10-01-2022,S004,West,Electronics,Winter,0,Cloudy,6386.82,66,66,75,10,1,2022
10-01-2022,S005,North,Groceries,Winter,1,Cloudy,51011.14,802,412.875,128.875,5.25,1,2022
10-01-2022,S005,North,Electronics,Winter,1,Cloudy,9046.8,175,355,119.5,12.5,1,2022
10-01-2022,S005,North,Toys,Winter,1,Cloudy,18834.74,556,271,138.25,12.5,1,2022
10-01-2022,S005,North,Furniture,Winter,0,Cloudy,39466.38,262,330.3333,94.3333,5.333333333,1,2022
10-01-2022,S005,North,Clothing,Winter,1,Cloudy,2576.36,116,116,135,10,1,2022
11-01-2022,S001,North,Electronics,Winter,0,Cloudy,17156.66,247,229.6667,89,2.333333333,1,2022
11-01-2022,S001,North,Clothing,Winter,1,Cloudy,27133.64,314,197.3333,154.3333,10,1,2022
11-01-2022,S001,North,Groceries,Winter,1,Cloudy,19414.29,446,456.2,110.4,14,1,2022
11-01-2022,S001,North,Toys,Winter,1,Cloudy,9007.91,357,179.75,97.5,13.75,1,2022
11-01-2022,S001,North,Furniture,Winter,1,Cloudy,36712.16,270,236.75,87,6.5,1,2022
11-01-2022,S002,South,Groceries,Winter,0,Sunny,43263.27,656,365.4286,121.2857,6.571428571,1,2022
11-01-2022,S002,South,Toys,Winter,1,Sunny,9494.52,350,466.6667,117,6.666666667,1,2022
11-01-2022,S002,South,Electronics,Winter,1,Sunny,43158.01,398,538,149.6667,20,1,2022
11-01-2022,S002,South,Clothing,Winter,1,Sunny,52258.62,687,405.2,148.2,15.2,1,2022
11-01-2022,S002,South,Furniture,Winter,1,Sunny,22637.42,166,412,144,20,1,2022
11-01-2022,S003,East,Toys,Winter,1,Sunny,6748.37,218,110.5,162,8,1,2022
11-01-2022,S003,East,Groceries,Winter,1,Sunny,70761.96,1089,322.4444,133.1111,7.888888889,1,2022
11-01-2022,S003,East,Electronics,Winter,1,Sunny,43682.18,345,198.6667,181.6667,9,1,2022
11-01-2022,S003,East,Clothing,Winter,1,Sunny,18762.22,187,628.5,114.5,15,1,2022
11-01-2022,S003,East,Furniture,Winter,1,Sunny,26597.22,227,336.6667,87.6667,8.333333333,1,2022
11-01-2022,S004,West,Groceries,Winter,1,Cloudy,14518.84,593,394.8571,117.4286,8,1,2022
11-01-2022,S004,West,Furniture,Winter,1,Cloudy,57192.2,448,226.6667,90.1667,9.166666667,1,2022
11-01-2022,S004,West,Clothing,Winter,1,Cloudy,41402.37,491,233.6,124.2,9.4,1,2022
11-01-2022,S004,West,Electronics,Winter,1,Cloudy,4228.32,46,63,63,15,1,2022
11-01-2022,S005,North,Groceries,Winter,1,Cloudy,54172.32,953,321.8889,132,10.66666667,1,2022
11-01-2022,S005,North,Electronics,Winter,1,Cloudy,8629.74,157,267.5,100.5,5.5,1,2022
11-01-2022,S005,North,Toys,Winter,1,Cloudy,11782.78,354,257.25,124,11.5,1,2022
11-01-2022,S005,North,Furniture,Winter,1,Cloudy,16515.52,129,236,69,10,1,2022
11-01-2022,S005,North,Clothing,Winter,0,Cloudy,4239.14,158,161,165,5,1,2022
12-01-2022,S001,North,Electronics,Winter,1,Snowy,18664.34,294,179.3333,103.6667,12,1,2022
12-01-2022,S001,North,Clothing,Winter,1,Snowy,22073.11,299,233,139,12.5,1,2022
12-01-2022,S001,North,Toys,Winter,1,Snowy,10914.67,317,143,126.6667,8.666666667,1,2022
12-01-2022,S001,North,Groceries,Winter,1,Snowy,22745,398,365,89.6,9.4,1,2022
12-01-2022,S001,North,Furniture,Winter,1,Snowy,35492.67,280,216.25,77.5,10,1,2022
12-01-2022,S002,South,Toys,Winter,1,Snowy,8406.64,265,483.5,120.5,5.5,1,2022
12-01-2022,S002,South,Groceries,Winter,1,Snowy,59682.2,906,297,154.2857,10,1,2022
12-01-2022,S002,South,Electronics,Winter,0,Snowy,7886.01,102,240,58,7.5,1,2022
12-01-2022,S002,South,Clothing,Winter,0,Snowy,6844.03,152,403.3333,65.6667,5.333333333,1,2022
12-01-2022,S002,South,Furniture,Winter,0,Snowy,5447.25,45,246,70,10,1,2022
12-01-2022,S003,East,Toys,Winter,0,Sunny,7203.08,281,256.3333,117,5.333333333,1,2022
12-01-2022,S003,East,Groceries,Winter,1,Sunny,49075.1,902,381.8571,182.2857,9.571428571,1,2022
12-01-2022,S003,East,Clothing,Winter,1,Sunny,5852.76,57,247,77,10,1,2022
